Filas,Columnas,Ejecucion 1,Ejecucion 2,Ejecucion 3,Ejecucion 4,Ejecucion 5
100,100,0.000024,0.000025,0.000025,0.000024,0.000024
100,1000,0.000251,0.000280,0.000255,0.000251,0.000250
100,10000,0.005039,0.003640,0.006224,0.003822,0.005103
100,100000,0.039768,0.039042,0.050472,0.039580,0.039695
100,1000000,0.404708,0.383063,0.399300,0.397059,0.396481
1000,100,0.000258,0.000246,0.000257,0.000246,0.000246
1000,1000,0.004098,0.004484,0.004684,0.003766,0.004181
1000,10000,0.072905,0.075303,0.077370,0.071796,0.072137
1000,100000,0.582428,0.568942,0.578214,0.584016,0.580323
10000,100,0.006234,0.003714,0.003241,0.005014,0.003142
10000,1000,0.097060,0.094818,0.096133,0.096491,0.102074
10000,10000,1.290886,1.254982,1.290704,1.260108,1.462950
100000,100,0.182340,0.169617,0.162130,0.153606,0.161320
100000,1000,2.485621,2.441799,2.454131,2.439559,2.431695
1000000,100,1.633098,1.620945,1.621317,1.618732,1.886846
